"","y.np","y.time","y.value","S.np","S.time","S.value","E.np","E.time","E.value","I.np","I.time","I.value","R.np","R.time","R.value","x.np","x.time","x.value","Z.np","Z.time","Z.value","k.np","k.value","gamma.np","gamma.value","sigma.np","sigma.value","E0.np","E0.value","I0.np","I0.value","R0.np","R0.value","x0.np","x0.value","tau.np","tau.value","clock","e.np","e.time","e.value","loglikelihood.np","loglikelihood.value","logprior.np","logprior.value"
"1",0,7,424.809695816783,0,7,32610498,0,7,1749.09631347656,0,7,1059.42395019531,0,7,19583074,0,7,0.615468978881836,0,7,5658.98046875,0,1.60504674911499,0,1.02613592147827,0,0.253290086984634,0,-10.8679494857788,0,-9.98344612121582,0,0.375063717365265,0,0.083590641617775,0,0.202147364616394,1084,0,7,0.395488202571869,0,-50.9548797607422,0,-1.68892192840576
"2",0,14,2279.11814718645,0,14,32583560,0,14,7180.0615234375,0,14,4552.7880859375,0,14,19601088,0,14,0.444646745920181,0,14,21507.255859375,1,1.59107148647308,1,1.02950966358185,1,0.253576666116714,1,-10.1248044967651,1,-10.1602973937988,1,0.285812586545944,1,-0.0849169343709946,1,0.311788499355316,1084,0,14,0.234364613890648,1,-49.6893997192383,1,-0.660309970378876
"3",0,21,7322.10000424484,0,21,32480292,0,21,33998.6875,0,21,17880.66015625,0,21,19664208,0,21,1.03487825393677,0,21,76449.3359375,2,1.57903242111206,2,1.07924962043762,2,0.246129170060158,2,-9.9993896484375,2,-10.2419958114624,2,0.281223386526108,2,0.0931588485836983,2,0.267602533102036,1084,0,21,1.00336098670959,2,-48.3516731262207,2,-0.555449545383453
"4",0,28,22569.0168401233,0,28,32202304,0,28,64969.671875,0,28,42178.99609375,0,28,19886928,0,28,0.290268391370773,0,28,247017.4375,3,1.57903242111206,3,1.07924962043762,3,0.246129170060158,3,-9.9993896484375,3,-10.2419958114624,3,0.281223386526108,3,0.0931588485836983,3,0.267602533102036,1084,0,28,-0.799187839031219,3,-48.3516731262207,3,-0.555449545383453
"5",0,35,25435.0501458289,0,35,31955538,0,35,58257.66015625,0,35,37038.578125,0,35,20145546,0,35,0.541734933853149,0,35,253477.5625,4,1.56335723400116,4,1.09946048259735,4,0.246694207191467,4,-10.4852361679077,4,-9.27966499328613,4,0.236270472407341,4,0.173151418566704,4,0.389581859111786,1084,0,35,0.55017751455307,4,-50.8688545227051,4,-1.10873568058014
"6",1,7,362.486451883102,1,7,37270376,1,7,930.796813964844,1,7,595.666137695312,1,7,14924479,1,7,0.569298326969147,1,7,5250.884765625,5,1.63430571556091,5,1.06882238388062,5,0.301437139511108,5,-10.7823915481567,5,-12.9294662475586,5,0.0767270997166634,5,-0.149439334869385,5,0.490080952644348,1084,1,7,1.63354730606079,5,-49.3372459411621,5,-2.60654735565186
"7",1,14,1472.6224014864,1,14,37248568,1,14,7038.3046875,1,14,3949.41455078125,1,14,14936826,1,14,0.598020374774933,1,14,15700.58984375,6,1.63504111766815,6,1.16011381149292,6,0.297615021467209,6,-10.4325952529907,6,-14.2019453048706,6,0.0568673387169838,6,0.109881423413754,6,0.49813848733902,1084,1,14,-0.442752838134766,6,-49.9410972595215,6,-3.32151556015015
"8",1,21,4761.37295929372,1,21,37131764,1,21,34655.5859375,1,21,20434.453125,1,21,15009525,1,21,0.429889708757401,1,21,89183.375,7,1.61479592323303,7,1.09236514568329,7,0.356344312429428,7,-9.42647361755371,7,-15.4234933853149,7,0.219568252563477,7,-0.601227760314941,7,0.598936975002289,1084,1,21,-0.857030749320984,7,-50.6700172424316,7,-0.912068724632263
"9",1,28,25840.0775986832,1,28,36950620,1,28,39209.421875,1,28,25970.736328125,1,28,15180581,1,28,0.241842538118362,1,28,176592.71875,8,1.60678052902222,8,1.03708839416504,8,0.332676500082016,8,-10.1042623519897,8,-15.681736946106,8,0.224977925419807,8,-0.642736256122589,8,0.593678772449493,1084,1,28,-0.182868152856827,8,-51.0940055847168,8,-0.662972450256348
"10",1,35,15365.1441628865,1,35,36845592,1,35,19234.33203125,1,35,13757.1328125,1,35,15317798,1,35,0.175921976566315,1,35,125003.6484375,9,1.58599662780762,9,1.09182667732239,9,0.328945696353912,9,-9.48194789886475,9,-15.0838575363159,9,0.2625992000103,9,-0.0622052624821663,9,0.581062138080597,1084,1,35,0.78889536857605,9,-52.501823425293,9,-0.336595207452774
"11",2,7,530.125097243417,2,7,37508772,2,7,1399.669921875,2,7,897.061584472656,2,7,14685313,2,7,0.444799333810806,2,7,6030.1064453125,10,1.61493265628815,10,0.989449083805084,10,0.337861448526382,10,-9.1934232711792,10,-13.9873485565186,10,0.32408881187439,10,-0.12180283665657,10,0.622133910655975,1084,2,7,0.230080991983414,10,-50.4672241210938,10,-2.20175385475159
"12",2,14,1158.80775567107,2,14,37487340,2,14,7582.17919921875,2,14,4169.876953125,2,14,14697288,2,14,0.67935311794281,2,14,15247.62890625,11,1.60666525363922,11,1.04827916622162,11,0.337661743164062,11,-9.40016651153564,11,-15.0669250488281,11,0.360095411539078,11,-0.376567244529724,11,0.643614232540131,1084,2,14,-0.807518780231476,11,-50.9939651489258,11,-1.43987703323364
"13",2,21,10185.2910568011,2,21,37367628,2,21,36623.1484375,2,21,21842.845703125,2,21,14770286,2,21,0.490759909152985,2,21,90671.5625,12,1.61421525478363,12,1.110480427742,12,0.361854881048203,12,-9.28174018859863,12,-14.4536905288696,12,0.363342642784119,12,-0.442469894886017,12,0.560787618160248,1084,2,21,-0.772765636444092,12,-50.9115028381348,12,-1.84938168525696
"14",2,28,8718.18757845392,2,28,37235988,2,28,35332.28515625,2,28,21426.826171875,2,28,14903634,2,28,0.683271110057831,2,28,132931.234375,13,1.62566888332367,13,1.11756777763367,13,0.345572650432587,13,-9.25142765045166,13,-13.8744268417358,13,0.414676457643509,13,-0.198895394802094,13,0.586019217967987,1084,2,28,1.1582053899765,13,-49.8574905395508,13,-3.29491758346558
"15",2,35,17396.7193420401,2,35,36923504,2,35,85204.78125,2,35,53744.67578125,2,35,15133927,2,35,0.408608376979828,2,35,262611.0625,14,1.62349593639374,14,1.23364067077637,14,0.333304911851883,14,-10.0037956237793,14,-14.4753017425537,14,0.376390695571899,14,-0.398884385824203,14,0.653814136981964,1084,2,35,-0.226822510361671,14,-50.6024551391602,14,-4.66206359863281
"16",3,7,674.379111929306,3,7,37508772,3,7,1399.669921875,3,7,897.061584472656,3,7,14685313,3,7,0.444799333810806,3,7,6030.1064453125,15,1.60022711753845,15,1.24016571044922,15,0.303303122520447,15,-10.718921661377,15,-14.0165338516235,15,0.356690853834152,15,-0.100220538675785,15,0.60112851858139,1084,3,7,0.230080991983414,15,-51.1679267883301,15,-3.3827531337738
"17",3,14,871.165886084028,3,14,37487340,3,14,7582.17919921875,3,14,4169.876953125,3,14,14697288,3,14,0.67935311794281,3,14,15247.62890625,16,1.6178218126297,16,1.17020356655121,16,0.283999234437943,16,-10.7196674346924,16,-12.5008268356323,16,0.459118872880936,16,0.422074675559998,16,0.420805871486664,1084,3,14,-0.807518780231476,16,-50.1295204162598,16,-3.83664464950562
